Player,Squad,PSxG,PSxG/SoT,PSxG+/-,Launch%,Crosses_Opp,Crosses_stp%,#OPA,Season,Competition
jeanlouis leca,Lens,1.6,0.4,0.6,44.8,20.0,5.0,0.0,2022-2023,ligue-1
benjamin lecomte,Montpellier,29.5,0.29,7.5,46.9,273.0,5.5,13.0,2022-2023,ligue-1
donovan leon,Auxerre,1.9,0.13,-0.1,63.6,41.0,0.0,2.0,2022-2023,ligue-1
benjamin leroy,Ajaccio,47.7,0.3,-11.3,52.4,389.0,4.6,54.0,2022-2023,ligue-1
alexandre letellier,Paris S-G,0.0,,0.0,0.0,1.0,0.0,0.0,2022-2023,ligue-1
mateusz lis,Troyes,16.4,0.28,0.4,38.7,154.0,7.8,13.0,2022-2023,ligue-1
anthony lopes,Lyon,41.4,0.27,4.4,31.3,358.0,5.3,25.0,2022-2023,ligue-1
pau lopez,Marseille,33.8,0.24,0.8,25.1,370.0,5.9,37.0,2022-2023,ligue-1
steve mandanda,Rennes,32.4,0.28,2.4,30.6,382.0,9.2,51.0,2022-2023,ligue-1
vito mannone,Lorient,25.2,0.29,1.2,25.9,344.0,3.5,9.0,2022-2023,ligue-1
yvon mvogo,Lorient,27.1,0.27,-0.9,34.0,381.0,5.5,7.0,2022-2023,ligue-1
alexander nubel,Monaco,49.5,0.24,-5.5,32.2,454.0,7.9,33.0,2022-2023,ligue-1
jonas omlin,Montpellier,24.1,0.28,0.1,32.1,209.0,6.7,12.0,2022-2023,ligue-1
patrick pentz,Reims,11.9,0.34,-1.1,44.7,103.0,7.8,4.0,2022-2023,ligue-1
ghjuvanni quilichini,Ajaccio,0.8,0.24,0.8,61.5,25.0,8.0,0.0,2022-2023,ligue-1
ionut radu,Auxerre,21.9,0.27,2.9,52.9,273.0,5.1,13.0,2022-2023,ligue-1
remy riou,Lyon,8.8,0.2,1.8,22.5,78.0,7.7,10.0,2022-2023,ligue-1
brice samba,Lens,32.4,0.24,5.4,35.5,384.0,8.9,41.0,2022-2023,ligue-1
kasper schmeichel,Nice,35.9,0.23,0.9,30.7,455.0,5.3,23.0,2022-2023,ligue-1
matz sels,Strasbourg,56.5,0.27,-2.5,44.8,504.0,6.2,32.0,2022-2023,ligue-1
francoisjoseph sollacaro,Ajaccio,9.1,0.34,-3.9,56.9,93.0,6.5,6.0,2022-2023,ligue-1
alaa bellaarouch,Strasbourg,19.9,0.25,-5.1,36.4,203.0,9.4,21.0,2023-2024,ligue-1
dimitry bertaud,Montpellier,10.9,0.32,-0.1,42.4,56.0,5.4,0.0,2023-2024,ligue-1
marco bizot,Brest,36.2,0.27,2.2,39.3,382.0,4.7,41.0,2023-2024,ligue-1
ruben blanco,Marseille,1.3,0.21,-0.7,26.8,24.0,16.7,1.0,2023-2024,ligue-1
marcin buka,Nice,30.7,0.22,2.7,14.4,376.0,8.5,21.0,2023-2024,ligue-1
lucas chevalier,Lille,35.7,0.26,5.7,26.5,388.0,6.4,28.0,2023-2024,ligue-1
gregoire coudert,Brest,0.3,0.07,0.3,41.4,24.0,0.0,2.0,2023-2024,ligue-1
remy descamps,Nantes,12.5,0.35,1.5,51.1,116.0,6.9,0.0,2023-2024,ligue-1
arthur desmas,Le Havre,47.0,0.3,6.0,46.9,470.0,6.8,24.0,2023-2024,ligue-1
mory diaw,Clermont Foot,57.1,0.28,4.1,42.8,439.0,8.9,46.0,2023-2024,ligue-1
guillaume dietsch,Metz,0.8,0.31,-0.2,47.4,14.0,7.1,0.0,2023-2024,ligue-1
yehvann diouf,Reims,42.7,0.27,-3.3,25.2,522.0,7.3,46.0,2023-2024,ligue-1
gianluigi donnarumma,Paris S-G,30.4,0.25,10.4,11.4,294.0,5.1,23.0,2023-2024,ligue-1
mathieu gorgelin,Le Havre,2.9,0.39,0.9,47.1,12.0,0.0,1.0,2023-2024,ligue-1
philipp kohn,Monaco,32.0,0.27,1.0,32.5,282.0,7.8,19.0,2023-2024,ligue-1
alban lafont,Nantes,42.4,0.31,-0.6,34.2,385.0,8.6,33.0,2023-2024,ligue-1
jeanlouis leca,Lens,1.0,0.49,-1.0,31.8,8.0,0.0,0.0,2023-2024,ligue-1
benjamin lecomte,Montpellier,36.8,0.24,2.8,44.2,471.0,6.2,13.0,2023-2024,ligue-1
anthony lopes,Lyon,43.5,0.25,-4.5,34.1,438.0,8.2,28.0,2023-2024,ligue-1
pau lopez,Marseille,32.6,0.24,-5.4,24.8,406.0,3.7,25.0,2023-2024,ligue-1
radosaw majecki,Monaco,14.7,0.29,5.7,31.1,160.0,8.1,7.0,2023-2024,ligue-1
steve mandanda,Rennes,38.2,0.25,-4.8,29.9,451.0,8.0,37.0,2023-2024,ligue-1
vito mannone,Lille,1.7,0.35,-0.3,40.5,11.0,18.2,4.0,2023-2024,ligue-1
yvon mvogo,Lorient,64.0,0.28,-1.0,29.1,591.0,4.1,13.0,2023-2024,ligue-1
keylor navas,Paris S-G,4.7,0.31,-1.3,10.0,37.0,0.0,5.0,2023-2024,ligue-1
massamba ndiaye,Clermont Foot,7.8,0.29,1.8,29.7,75.0,9.3,3.0,2023-2024,ligue-1
alexandre oukidja,Metz,52.3,0.26,-4.7,57.3,569.0,8.1,22.0,2023-2024,ligue-1
denis petric,Nantes,0.3,0.28,-0.7,28.6,4.0,0.0,0.0,2023-2024,ligue-1
guillaume restes,Toulouse,45.3,0.3,-0.7,27.4,490.0,1.4,16.0,2023-2024,ligue-1
remy riou,Lyon,4.7,0.33,-1.3,16.0,32.0,9.4,3.0,2023-2024,ligue-1
brice samba,Lens,42.3,0.27,8.3,31.8,388.0,8.2,39.0,2023-2024,ligue-1
matz sels,Strasbourg,18.0,0.28,-4.0,37.4,257.0,2.3,19.0,2023-2024,ligue-1
arnau tenas,Paris S-G,6.0,0.24,-1.0,23.0,71.0,2.8,5.0,2023-2024,ligue-1
dimitry bertaud,Montpellier,8.8,0.35,-2.2,38.4,55.0,14.5,3.0,2024-2025,ligue-1
marco bizot,Brest,46.2,0.31,-6.8,42.0,459.0,7.2,53.0,2024-2025,ligue-1
marcin buka,Nice,43.0,0.26,3.0,22.8,470.0,8.3,33.0,2024-2025,ligue-1
patrik carlgren,Nantes,8.5,0.3,1.5,36.4,80.0,1.3,1.0,2024-2025,ligue-1
lucas chevalier,Lille,42.2,0.32,7.2,25.7,373.0,5.6,24.0,2024-2025,ligue-1
gregoire coudert,Brest,2.8,0.22,-1.2,28.3,30.0,3.3,3.0,2024-2025,ligue-1
theo de percin,Auxerre,3.5,0.22,0.5,45.7,38.0,7.9,3.0,2024-2025,ligue-1
remy descamps,Lyon,1.4,0.23,-0.6,14.3,7.0,0.0,0.0,2024-2025,ligue-1
arthur desmas,Le Havre,38.7,0.4,0.7,28.5,277.0,4.3,7.0,2024-2025,ligue-1
yehvann diouf,Reims,61.6,0.33,14.6,34.4,554.0,5.6,42.0,2024-2025,ligue-1
alex dominguez,Toulouse,0.0,,0.0,25.0,7.0,0.0,0.0,2024-2025,ligue-1
gianluigi donnarumma,Paris S-G,21.7,0.29,-3.3,13.6,199.0,5.0,19.0,2024-2025,ligue-1
yahia fofana,Angers,63.5,0.34,12.5,38.6,531.0,9.0,20.0,2024-2025,ligue-1
gauthier gallon,Rennes,0.0,,0.0,13.3,2.0,0.0,1.0,2024-2025,ligue-1
mathieu gorgelin,Le Havre,34.2,0.4,2.2,32.9,269.0,7.8,8.0,2024-2025,ligue-1
kjetil haug,Toulouse,6.6,0.45,-0.4,37.9,72.0,6.9,3.0,2024-2025,ligue-1
karljohan johnsson,Strasbourg,6.7,0.26,0.7,15.6,48.0,4.2,3.0,2024-2025,ligue-1
herve koffi,Lens,11.1,0.38,3.1,29.6,53.0,7.5,2.0,2024-2025,ligue-1
philipp kohn,Monaco,17.2,0.26,-1.8,25.7,225.0,7.1,20.0,2024-2025,ligue-1
alban lafont,Nantes,16.8,0.3,-0.2,34.0,200.0,8.0,6.0,2024-2025,ligue-1
gautier larsonneur,Saint-Étienne,73.5,0.3,-1.5,38.8,510.0,4.7,33.0,2024-2025,ligue-1
benjamin lecomte,Montpellier,57.3,0.31,-5.7,42.5,408.0,4.9,26.0,2024-2025,ligue-1
donovan leon,Auxerre,55.8,0.32,10.8,53.0,518.0,5.4,39.0,2024-2025,ligue-1
anthony lopes,Nantes,25.6,0.32,0.6,40.4,308.0,5.2,8.0,2024-2025,ligue-1
radosaw majecki,Monaco,21.1,0.31,-0.9,26.6,154.0,9.1,18.0,2024-2025,ligue-1
steve mandanda,Rennes,17.0,0.29,-4.0,33.6,175.0,4.0,21.0,2024-2025,ligue-1
lucas perri,Lyon,47.8,0.29,3.8,28.1,415.0,6.3,29.0,2024-2025,ligue-1
ore petrovic,Strasbourg,45.9,0.27,9.9,20.9,491.0,8.4,47.0,2024-2025,ligue-1
guillaume restes,Toulouse,27.9,0.29,-5.1,30.8,360.0,1.4,34.0,2024-2025,ligue-1
geronimo rulli,Marseille,47.5,0.33,2.5,15.0,309.0,9.1,59.0,2024-2025,ligue-1
mathew ryan,Lens,19.5,0.28,2.5,31.3,176.0,11.4,10.0,2024-2025,ligue-1
matvei safonov,Paris S-G,7.2,0.26,-0.8,26.3,94.0,5.3,14.0,2024-2025,ligue-1
brice samba,Rennes,29.2,0.32,2.2,24.4,225.0,7.1,15.0,2024-2025,ligue-1
brice samba,Lens,17.5,0.26,3.5,29.7,152.0,11.2,22.0,2024-2025,ligue-1
arnau tenas,Paris S-G,1.5,0.37,0.5,13.3,5.0,20.0,1.0,2024-2025,ligue-1
melvin zinga,Angers,2.4,0.41,0.4,40.9,20.0,5.0,2.0,2024-2025,ligue-1
alisson,Liverpool,51.1,0.33,10.1,18.4,397.0,5.8,89.0,2022-2023,premier-league
alphonse areola,West Ham,7.3,0.33,0.3,39.3,47.0,4.3,1.0,2022-2023,premier-league
kepa arrizabalaga,Chelsea,35.0,0.29,5.0,17.1,332.0,4.5,52.0,2022-2023,premier-league
gavin bazunu,Southampton,35.1,0.28,-16.9,50.2,456.0,7.9,48.0,2022-2023,premier-league
asmir begovic,Everton,0.5,0.12,0.5,36.4,23.0,4.3,0.0,2022-2023,premier-league
daniel bentley,Wolves,3.9,0.3,0.9,38.6,37.0,13.5,1.0,2022-2023,premier-league
martin dubravka,Newcastle Utd,1.9,0.21,1.9,10.3,30.0,3.3,0.0,2022-2023,premier-league
ederson,Manchester City,26.2,0.3,-4.8,19.6,286.0,6.6,33.0,2022-2023,premier-league
ukasz fabianski,West Ham,45.9,0.28,-1.1,54.2,513.0,5.7,25.0,2022-2023,premier-league
fraser forster,Tottenham,21.3,0.34,-2.7,29.0,193.0,2.6,16.0,2022-2023,premier-league
david de gea,Manchester Utd,41.3,0.27,-0.7,32.6,526.0,2.9,32.0,2022-2023,premier-league
vicente guaita,Crystal Palace,32.4,0.26,0.4,34.5,410.0,6.3,26.0,2022-2023,premier-league
dean henderson,Nott'ham Forest,26.9,0.28,-4.1,47.2,291.0,6.9,27.0,2022-2023,premier-league
wayne hennessey,Nott'ham Forest,3.9,0.28,-1.1,54.2,35.0,2.9,2.0,2022-2023,premier-league
daniel iversen,Leicester City,18.9,0.29,-2.1,47.1,203.0,7.9,6.0,2022-2023,premier-league
sam johnstone,Crystal Palace,10.0,0.24,1.0,31.8,104.0,1.9,11.0,2022-2023,premier-league
caoimhin kelleher,Liverpool,2.9,0.34,-1.1,9.1,3.0,0.0,0.0,2022-2023,premier-league
bernd leno,Fulham,58.0,0.27,9.0,26.0,464.0,7.5,46.0,2022-2023,premier-league
hugo lloris,Tottenham,33.9,0.29,-4.1,31.7,322.0,6.2,29.0,2022-2023,premier-league
emiliano martinez,Aston Villa,36.6,0.24,2.6,35.5,483.0,12.4,73.0,2022-2023,premier-league
alex mccarthy,Southampton,10.9,0.34,-5.1,48.5,92.0,6.5,7.0,2022-2023,premier-league
edouard mendy,Chelsea,11.9,0.33,-2.1,22.1,128.0,7.0,11.0,2022-2023,premier-league
illan meslier,Leeds United,53.6,0.32,-12.4,39.4,432.0,7.9,66.0,2022-2023,premier-league
keylor navas,Nott'ham Forest,29.3,0.32,-2.7,56.3,295.0,4.7,9.0,2022-2023,premier-league
neto,Bournemouth,39.7,0.26,1.7,47.4,510.0,6.9,25.0,2022-2023,premier-league
robin olsen,Aston Villa,6.2,0.29,-1.8,44.6,45.0,11.1,3.0,2022-2023,premier-league
stefan ortega,Manchester City,4.1,0.27,3.1,14.8,26.0,3.8,7.0,2022-2023,premier-league
jordan pickford,Everton,60.0,0.31,3.0,58.1,566.0,3.9,52.0,2022-2023,premier-league
nick pope,Newcastle Utd,31.3,0.24,0.3,33.1,411.0,8.3,74.0,2022-2023,premier-league
aaron ramsdale,Arsenal,40.0,0.28,-2.0,35.4,381.0,5.8,43.0,2022-2023,premier-league
david raya,Brentford,48.1,0.24,5.1,50.7,598.0,8.9,54.0,2022-2023,premier-league
joel robles,Leeds United,10.5,0.32,-0.5,52.2,43.0,4.7,3.0,2022-2023,premier-league
marek rodak,Fulham,2.0,0.51,0.0,73.9,26.0,3.8,2.0,2022-2023,premier-league
jose sa,Wolves,48.4,0.28,-5.6,29.3,540.0,8.0,28.0,2022-2023,premier-league
robert sanchez,Brighton,24.2,0.25,-2.8,24.2,229.0,7.4,13.0,2022-2023,premier-league
jason steele,Brighton,18.5,0.29,-1.5,14.9,126.0,7.9,19.0,2022-2023,premier-league
mark travers,Bournemouth,24.0,0.34,-6.0,35.6,229.0,2.2,5.0,2022-2023,premier-league
danny ward,Leicester City,36.5,0.29,-5.5,29.7,355.0,5.6,42.0,2022-2023,premier-league
joseph whitworth,Crystal Palace,2.3,0.23,-2.7,29.4,25.0,4.0,3.0,2022-2023,premier-league
alisson,Liverpool,28.7,0.26,-0.3,14.1,299.0,4.3,33.0,2023-2024,premier-league
alphonse areola,West Ham,52.1,0.24,2.1,43.9,468.0,5.8,7.0,2023-2024,premier-league
daniel bentley,Wolves,5.8,0.39,-1.2,36.0,50.0,0.0,3.0,2023-2024,premier-league
martin dubravka,Newcastle Utd,42.2,0.29,0.2,15.6,296.0,6.8,22.0,2023-2024,premier-league
ederson,Manchester City,27.2,0.3,1.2,18.3,247.0,10.1,50.0,2023-2024,premier-league
ukasz fabianski,West Ham,19.8,0.33,-0.2,50.0,114.0,7.0,1.0,2023-2024,premier-league
mark flekken,Brentford,55.4,0.31,-7.6,36.6,568.0,7.7,37.0,2023-2024,premier-league
wes foderingham,Sheffield Utd,70.4,0.33,-3.6,54.5,468.0,6.0,42.0,2023-2024,premier-league
ivo grbic,Sheffield Utd,14.7,0.25,-8.3,57.5,193.0,5.7,14.0,2023-2024,premier-league
dean henderson,Crystal Palace,27.4,0.31,-1.6,46.7,246.0,2.0,17.0,2023-2024,premier-league
sam johnstone,Crystal Palace,20.0,0.27,-6.0,55.0,339.0,7.1,12.0,2023-2024,premier-league
thomas kaminski,Luton Town,77.6,0.34,-3.4,52.0,558.0,2.9,76.0,2023-2024,premier-league
loris karius,Newcastle Utd,2.0,0.29,-1.0,48.1,10.0,10.0,3.0,2023-2024,premier-league
caoimhin kelleher,Liverpool,11.3,0.3,1.3,22.4,77.0,6.5,13.0,2023-2024,premier-league
bernd leno,Fulham,55.7,0.26,-1.3,23.7,472.0,4.0,40.0,2023-2024,premier-league
emiliano martinez,Aston Villa,50.6,0.37,6.6,21.0,373.0,12.1,69.0,2023-2024,premier-league
remi matthews,Crystal Palace,0.1,0.15,-0.9,100.0,1.0,100.0,0.0,2023-2024,premier-league
arijanet muric,Burnley,21.7,0.26,6.7,36.4,143.0,14.0,31.0,2023-2024,premier-league
neto,Bournemouth,55.2,0.31,1.2,44.1,413.0,6.3,34.0,2023-2024,premier-league
robin olsen,Aston Villa,11.1,0.3,-1.9,20.5,46.0,13.0,1.0,2023-2024,premier-league
andre onana,Manchester Utd,59.7,0.27,2.7,31.0,601.0,7.0,37.0,2023-2024,premier-league
stefan ortega,Manchester City,9.0,0.33,2.0,24.7,65.0,9.2,13.0,2023-2024,premier-league
ore petrovic,Chelsea,28.3,0.26,-6.7,22.1,312.0,6.4,20.0,2023-2024,premier-league
jordan pickford,Everton,52.4,0.28,4.4,56.7,570.0,5.3,54.0,2023-2024,premier-league
nick pope,Newcastle Utd,16.8,0.3,0.8,21.1,143.0,6.3,28.0,2023-2024,premier-league
ionut radu,Bournemouth,2.9,0.27,-4.1,19.3,19.0,10.5,0.0,2023-2024,premier-league
aaron ramsdale,Arsenal,3.7,0.26,-1.3,34.9,46.0,17.4,9.0,2023-2024,premier-league
david raya,Arsenal,20.4,0.26,-2.6,32.2,329.0,12.2,50.0,2023-2024,premier-league
jose sa,Wolves,65.9,0.31,8.9,33.3,522.0,8.6,28.0,2023-2024,premier-league
robert sanchez,Chelsea,24.2,0.28,-0.8,21.3,202.0,9.4,27.0,2023-2024,premier-league
matz sels,Nott'ham Forest,17.1,0.27,-7.9,45.9,222.0,5.0,4.0,2023-2024,premier-league
james shea,Luton Town,0.1,0.06,0.1,83.3,3.0,0.0,1.0,2023-2024,premier-league
jason steele,Brighton,25.7,0.32,-6.3,20.1,173.0,4.0,41.0,2023-2024,premier-league
thomas strakosha,Brentford,1.5,0.2,-0.5,41.1,37.0,5.4,1.0,2023-2024,premier-league
james trafford,Burnley,54.1,0.3,-5.9,33.9,419.0,7.2,43.0,2023-2024,premier-league
mark travers,Bournemouth,5.0,0.23,0.0,55.4,60.0,5.0,3.0,2023-2024,premier-league
matt turner,Nott'ham Forest,22.1,0.26,-5.9,42.7,296.0,10.1,18.0,2023-2024,premier-league
bart verbruggen,Brighton,25.4,0.25,-2.6,17.1,232.0,7.3,31.0,2023-2024,premier-league
guglielmo vicario,Tottenham,60.0,0.32,2.0,14.3,511.0,6.5,81.0,2023-2024,premier-league
odysseas vlachodimos,Nott'ham Forest,7.9,0.31,-4.1,25.4,92.0,3.3,2.0,2023-2024,premier-league
alisson,Liverpool,30.5,0.3,3.5,19.7,255.0,4.3,49.0,2024-2025,premier-league
alphonse areola,West Ham,35.4,0.31,-2.6,34.4,394.0,3.8,30.0,2024-2025,premier-league
kepa arrizabalaga,Bournemouth,41.0,0.28,2.0,33.2,367.0,6.0,54.0,2024-2025,premier-league
brandon austin,Tottenham,2.2,0.55,0.2,38.5,15.0,33.3,2.0,2024-2025,premier-league
altay bayndr,Manchester Utd,10.1,0.59,1.1,34.4,56.0,7.1,7.0,2024-2025,premier-league
daniel bentley,Wolves,3.9,0.33,-0.1,25.0,25.0,0.0,3.0,2024-2025,premier-league
martin dubravka,Newcastle Utd,12.9,0.32,0.9,15.8,127.0,7.9,11.0,2024-2025,premier-league
ederson,Manchester City,30.0,0.37,5.0,17.4,224.0,5.8,49.0,2024-2025,premier-league
ukasz fabianski,West Ham,22.6,0.29,1.6,41.9,220.0,4.5,12.0,2024-2025,premier-league
mark flekken,Brentford,52.7,0.26,-0.3,33.7,581.0,7.9,34.0,2024-2025,premier-league
fraser forster,Tottenham,16.5,0.36,1.5,21.3,81.0,4.9,3.0,2024-2025,premier-league
dean henderson,Crystal Palace,51.2,0.35,3.2,47.5,559.0,5.4,40.0,2024-2025,premier-league
mads hermansen,Leicester City,56.4,0.35,1.4,39.2,419.0,6.2,26.0,2024-2025,premier-league
vitezslav jaros,Liverpool,0.0,0.03,0.0,85.7,2.0,0.0,0.0,2024-2025,premier-league
sam johnstone,Wolves,13.0,0.29,-3.0,45.6,104.0,7.7,11.0,2024-2025,premier-league
filip jrgensen,Chelsea,9.3,0.3,0.3,18.1,53.0,3.8,2.0,2024-2025,premier-league
caoimhin kelleher,Liverpool,11.6,0.3,-0.4,28.6,113.0,5.3,9.0,2024-2025,premier-league
tom king,Wolves,0.0,,0.0,0.0,1.0,0.0,0.0,2024-2025,premier-league
antonin kinsky,Tottenham,10.5,0.33,1.5,26.9,112.0,8.9,9.0,2024-2025,premier-league
bernd leno,Fulham,48.9,0.29,-3.1,22.7,507.0,4.5,33.0,2024-2025,premier-league
joe lumley,Southampton,7.7,0.39,0.7,34.1,56.0,3.6,7.0,2024-2025,premier-league
emiliano martinez,Aston Villa,45.8,0.32,0.8,26.3,498.0,11.2,35.0,2024-2025,premier-league
alex mccarthy,Southampton,12.6,0.29,-0.4,33.3,74.0,10.8,0.0,2024-2025,premier-league
arijanet muric,Ipswich Town,31.4,0.29,-1.6,29.6,249.0,15.7,20.0,2024-2025,premier-league
neto,Bournemouth,4.3,0.35,2.3,43.5,30.0,6.7,3.0,2024-2025,premier-league
robin olsen,Aston Villa,6.3,0.4,0.3,42.7,40.0,7.5,0.0,2024-2025,premier-league
andre onana,Manchester Utd,44.0,0.31,1.0,29.7,399.0,5.5,23.0,2024-2025,premier-league
stefan ortega,Manchester City,16.3,0.31,-0.7,21.5,133.0,4.5,12.0,2024-2025,premier-league
alex palmer,Ipswich Town,25.1,0.35,-2.9,36.8,249.0,8.0,13.0,2024-2025,premier-league
jordan pickford,Everton,48.8,0.3,4.8,48.8,558.0,5.6,57.0,2024-2025,premier-league
nick pope,Newcastle Utd,34.8,0.28,1.8,25.7,359.0,10.9,64.0,2024-2025,premier-league
hakon rafn valdimarsson,Brentford,0.6,0.14,-0.4,42.6,16.0,12.5,0.0,2024-2025,premier-league
aaron ramsdale,Southampton,63.5,0.32,-2.5,44.6,457.0,5.5,20.0,2024-2025,premier-league
david raya,Arsenal,35.1,0.28,1.1,29.9,402.0,13.2,66.0,2024-2025,premier-league
jose sa,Wolves,42.8,0.33,-3.2,39.3,432.0,7.4,43.0,2024-2025,premier-league
robert sanchez,Chelsea,35.7,0.25,1.7,33.3,370.0,12.7,57.0,2024-2025,premier-league
matz sels,Nott'ham Forest,49.1,0.29,3.1,68.4,710.0,2.7,12.0,2024-2025,premier-league
jason steele,Brighton,0.5,0.12,-0.5,13.6,22.0,9.1,3.0,2024-2025,premier-league
jakub stolarczyk,Leicester City,15.4,0.35,-0.6,46.3,169.0,5.9,8.0,2024-2025,premier-league
mark travers,Bournemouth,9.5,0.38,4.5,41.7,63.0,1.6,5.0,2024-2025,premier-league
bart verbruggen,Brighton,51.0,0.31,-5.0,26.9,414.0,6.5,47.0,2024-2025,premier-league
guglielmo vicario,Tottenham,37.4,0.36,2.4,10.5,312.0,9.6,31.0,2024-2025,premier-league
christian walton,Ipswich Town,17.1,0.4,-1.9,42.6,111.0,10.8,2.0,2024-2025,premier-league
danny ward,Leicester City,2.8,0.28,-3.2,37.0,11.0,0.0,2.0,2024-2025,premier-league
emil audero,Sampdoria,32.3,0.21,-4.7,45.8,356.0,6.7,23.0,2022-2023,serie-a
francesco bardi,Bologna,0.6,0.16,0.6,38.5,10.0,0.0,0.0,2022-2023,serie-a
marco carnesecchi,Cremonese,44.2,0.28,-1.8,52.2,402.0,7.2,29.0,2022-2023,serie-a
michele cerofolini,Fiorentina,3.4,0.22,0.4,34.7,29.0,3.4,3.0,2022-2023,serie-a
andrea consigli,Sassuolo,38.5,0.31,-14.5,30.4,467.0,6.0,28.0,2022-2023,serie-a
alex cordaz,Inter,0.5,0.26,0.5,26.7,7.0,0.0,0.0,2022-2023,serie-a
alessio cragno,Monza,1.7,0.35,-1.3,12.0,7.0,0.0,2.0,2022-2023,serie-a
michele di gregorio,Monza,48.7,0.28,0.7,30.4,541.0,2.6,32.0,2022-2023,serie-a
bartomiej dragowski,Spezia,46.1,0.25,-4.9,37.6,472.0,2.8,32.0,2022-2023,serie-a
wladimiro falcone,Lecce,43.5,0.24,0.5,56.8,534.0,4.3,42.0,2022-2023,serie-a
vincenzo fiorillo,Salernitana,1.9,0.49,-0.1,57.9,7.0,14.3,0.0,2022-2023,serie-a
pierluigi gollini,Napoli,3.1,0.19,-0.9,20.3,56.0,3.6,4.0,2022-2023,serie-a
pierluigi gollini,Fiorentina,1.7,0.21,-0.3,27.0,24.0,4.2,0.0,2022-2023,serie-a
samir handanovic,Inter,15.0,0.27,-2.0,15.6,149.0,1.3,10.0,2022-2023,serie-a
mike maignan,Milan,20.3,0.28,-0.7,22.8,221.0,6.8,32.0,2022-2023,serie-a
federico marchetti,Spezia,1.5,0.48,-0.5,10.0,8.0,0.0,1.0,2022-2023,serie-a
luis maximiano,Lazio,,,,,,,,2022-2023,serie-a
alex meret,Napoli,25.0,0.25,1.0,14.3,335.0,3.3,39.0,2022-2023,serie-a
vanja milinkovicsavic,Torino,35.8,0.23,-5.2,45.0,469.0,7.7,70.0,2022-2023,serie-a
antonio mirante,Milan,0.0,,0.0,0.0,0.0,,0.0,2022-2023,serie-a
lorenzo montipo,Hellas Verona,49.6,0.27,-6.4,62.9,496.0,5.2,55.0,2022-2023,serie-a
juan musso,Atalanta,21.7,0.23,-3.3,32.5,253.0,5.5,24.0,2022-2023,serie-a
guillermo ochoa,Salernitana,34.8,0.3,1.8,53.6,311.0,3.5,10.0,2022-2023,serie-a
andre onana,Inter,19.3,0.21,-2.7,25.5,283.0,5.3,10.0,2022-2023,serie-a
rui patricio,Roma,27.6,0.23,-6.4,37.6,402.0,4.0,25.0,2022-2023,serie-a
gianluca pegolo,Sassuolo,3.2,0.38,0.2,21.3,28.0,7.1,0.0,2022-2023,serie-a
simone perilli,Hellas Verona,0.8,0.19,0.8,81.0,19.0,5.3,1.0,2022-2023,serie-a
mattia perin,Juventus,11.2,0.23,4.2,28.6,154.0,2.6,11.0,2022-2023,serie-a
samuele perisan,Empoli,7.5,0.31,-1.5,32.0,134.0,3.7,4.0,2022-2023,serie-a
ivan provedel,Lazio,31.4,0.25,2.4,27.4,493.0,4.3,55.0,2022-2023,serie-a
ionut radu,Cremonese,21.0,0.29,2.0,41.1,107.0,5.6,9.0,2022-2023,serie-a
nicola ravaglia,Sampdoria,17.9,0.26,-5.1,42.5,155.0,6.5,1.0,2022-2023,serie-a
francesco rossi,Atalanta,0.0,,0.0,0.0,1.0,0.0,0.0,2022-2023,serie-a
alessandro russo,Sassuolo,2.8,0.4,-0.2,28.6,14.0,0.0,0.0,2022-2023,serie-a
mouhamadou sarr,Cremonese,2.9,0.36,-0.1,40.8,18.0,0.0,1.0,2022-2023,serie-a
luigi sepe,Salernitana,30.3,0.27,3.3,40.6,222.0,7.2,13.0,2022-2023,serie-a
marco silvestri,Udinese,48.7,0.31,2.7,31.9,547.0,2.4,21.0,2022-2023,serie-a
salvatore sirigu,Fiorentina,1.0,0.19,1.0,40.0,12.0,0.0,2.0,2022-2023,serie-a
ukasz skorupski,Bologna,47.8,0.25,1.8,29.8,492.0,5.9,24.0,2022-2023,serie-a
marco sportiello,Atalanta,19.6,0.29,-1.4,20.5,200.0,9.0,18.0,2022-2023,serie-a
mile svilar,Roma,2.9,0.29,-0.1,50.8,42.0,14.3,4.0,2022-2023,serie-a
wojciech szczesny,Juventus,26.0,0.25,0.0,32.2,389.0,2.8,21.0,2022-2023,serie-a
ciprian tatarusanu,Milan,16.8,0.25,-4.2,32.1,195.0,4.6,13.0,2022-2023,serie-a
pietro terracciano,Fiorentina,33.1,0.28,-2.9,32.7,271.0,4.4,55.0,2022-2023,serie-a
martin turk,Sampdoria,8.0,0.26,-1.0,41.4,60.0,0.0,2.0,2022-2023,serie-a
samir ujkani,Empoli,0.2,0.25,-0.8,0.0,1.0,0.0,0.0,2022-2023,serie-a
guglielmo vicario,Empoli,40.9,0.27,2.9,33.5,606.0,5.6,22.0,2022-2023,serie-a
jeroen zoet,Spezia,2.8,0.14,-1.2,54.5,62.0,6.5,6.0,2022-2023,serie-a
petar zovko,Spezia,1.7,0.55,-0.3,47.8,24.0,4.2,2.0,2022-2023,serie-a
simone aresti,Cagliari,1.0,0.0,0.0,100.0,3.0,0.0,0.0,2023-2024,serie-a
emil audero,Inter,3.1,0.28,0.1,11.9,54.0,11.1,2.0,2023-2024,serie-a
nicola bagnolini,Bologna,0.0,0.02,0.0,100.0,0.0,,0.0,2023-2024,serie-a
