Player,Squad,Liga,Season,Fls,Off,Crosses,Recov,Aerialwon%
victor meseguer,Valladolid,La-Liga,2024-2025,8,0,3,25,0.556
miguel,Leganés,La-Liga,2024-2025,23,12,9,27,0.23199999999999998
eder militao,Real Madrid,La-Liga,2024-2025,18,0,2,44,0.636
luis milla,Getafe,La-Liga,2024-2025,38,0,201,168,0.47
pere milla,Espanyol,La-Liga,2024-2025,5,2,14,25,0.579
oscar mingueza,Celta Vigo,La-Liga,2024-2025,24,2,139,138,0.5
kim minsu,Girona,La-Liga,2024-2025,0,0,0,1,0.0
bojan miovski,Girona,La-Liga,2024-2025,13,8,3,13,0.371
rafa mir,Valencia,La-Liga,2024-2025,13,5,7,18,0.364
luka modric,Real Madrid,La-Liga,2024-2025,23,2,112,105,0.316
johan mojica,Mallorca,La-Liga,2024-2025,18,0,143,181,0.33299999999999996
alberto moleiro,Las Palmas,La-Liga,2024-2025,31,2,32,132,0.185
nahuel molina,Atlético Madrid,La-Liga,2024-2025,13,4,55,66,0.455
jon moncayola,Osasuna,La-Liga,2024-2025,34,0,107,91,0.484
gonzalo montiel,Sevilla,La-Liga,2024-2025,3,0,3,4,1.0
gerard moreno,Villarreal,La-Liga,2024-2025,10,1,10,25,0.81
xavier moreno,Valladolid,La-Liga,2024-2025,0,0,2,1,1.0
mateu morey,Mallorca,La-Liga,2024-2025,17,1,16,41,0.5710000000000001
ilaix moriba,Celta Vigo,La-Liga,2024-2025,32,2,6,108,0.49
manu morlanes,Mallorca,La-Liga,2024-2025,15,0,8,79,0.385
raul moro,Valladolid,La-Liga,2024-2025,4,12,149,85,0.33299999999999996
cristhian mosquera,Valencia,La-Liga,2024-2025,14,0,2,190,0.446
santiago mourino,Alavés,La-Liga,2024-2025,32,1,4,85,0.5760000000000001
abdul mumin,Rayo Vallecano,La-Liga,2024-2025,22,0,6,93,0.5539999999999999
aihen munoz,Real Sociedad,La-Liga,2024-2025,15,0,35,43,0.575
alex munoz,Las Palmas,La-Liga,2024-2025,30,2,27,35,0.5329999999999999
iker munoz,Osasuna,La-Liga,2024-2025,12,0,7,28,0.455
javier munoz,Las Palmas,La-Liga,2024-2025,30,2,51,112,0.366
victor munoz,Real Madrid,La-Liga,2024-2025,2,0,2,1,
vedat muriqi,Mallorca,La-Liga,2024-2025,29,19,10,49,0.579
juan musso,Atlético Madrid,La-Liga,2024-2025,0,0,0,2,
matija nastasic,Leganés,La-Liga,2024-2025,15,2,0,50,0.696
natan,Betis,La-Liga,2024-2025,19,0,2,75,0.684
pau navarro,Villarreal,La-Liga,2024-2025,10,0,2,46,0.391
roberto navarro,Mallorca,La-Liga,2024-2025,14,2,29,94,0.35700000000000004
jesus navas,Sevilla,La-Liga,2024-2025,1,3,33,10,0.5
yvan neyou,Leganés,La-Liga,2024-2025,33,0,15,121,0.537
tanguy nianzou,Sevilla,La-Liga,2024-2025,10,0,0,9,0.895
saul niguez,Sevilla,La-Liga,2024-2025,44,1,19,86,0.5479999999999999
tamas nikitscher,Valladolid,La-Liga,2024-2025,18,0,1,34,0.625
adrian nino,Atlético Madrid,La-Liga,2024-2025,0,0,0,0,0.0
hugo novoa,Alavés,La-Liga,2024-2025,1,2,7,9,0.111
randy nteka,Rayo Vallecano,La-Liga,2024-2025,39,16,4,26,0.446
unai nunez,Athletic Club,La-Liga,2024-2025,10,1,0,28,0.52
rjan nyland,Sevilla,La-Liga,2024-2025,1,0,0,28,1.0
allan nyom,Getafe,La-Liga,2024-2025,18,0,15,32,0.33299999999999996
jan oblak,Atlético Madrid,La-Liga,2024-2025,0,0,0,29,1.0
lucas ocampos,Sevilla,La-Liga,2024-2025,3,0,4,6,0.429
alvaro odriozola,Real Sociedad,La-Liga,2024-2025,2,0,1,2,1.0
thiago ojeda,Villarreal,La-Liga,2024-2025,1,0,1,0,
aingeru olabarrieta,Athletic Club,La-Liga,2024-2025,1,0,4,4,1.0
olasagasti,Real Sociedad,La-Liga,2024-2025,15,0,10,42,0.353
brian olivan,Espanyol,La-Liga,2024-2025,13,3,55,28,0.231
lucas oliveira rosa,Valladolid,La-Liga,2024-2025,35,1,36,87,0.643
dani olmo,Barcelona,La-Liga,2024-2025,21,1,21,46,0.5
aimar oroz,Osasuna,La-Liga,2024-2025,28,5,29,164,0.45
angel ortiz,Betis,La-Liga,2024-2025,6,0,19,16,0.41700000000000004
gabriel osei misehouy,Girona,La-Liga,2024-2025,1,2,6,11,0.0
david otorbi,Valencia,La-Liga,2024-2025,0,0,0,0,
jesus owono,Alavés,La-Liga,2024-2025,1,0,0,3,
mikel oyarzabal,Real Sociedad,La-Liga,2024-2025,14,18,10,48,0.305
cenk ozkacar,Valladolid,La-Liga,2024-2025,5,0,0,30,0.423
jon pacheco,Real Sociedad,La-Liga,2024-2025,18,0,0,35,0.528
alex padilla,Athletic Club,La-Liga,2024-2025,0,0,0,4,1.0
isaac palazon camacho,Rayo Vallecano,La-Liga,2024-2025,39,3,111,102,0.31
aitor paredes,Athletic Club,La-Liga,2024-2025,23,0,1,62,0.508
daniel parejo,Villarreal,La-Liga,2024-2025,20,1,37,142,0.727
iago parente,Valladolid,La-Liga,2024-2025,0,0,1,1,
alvaro pascual,Sevilla,La-Liga,2024-2025,11,1,3,12,0.39299999999999996
alfonso pedraza,Villarreal,La-Liga,2024-2025,4,0,26,18,0.7140000000000001
pedri,Barcelona,La-Liga,2024-2025,10,2,58,254,0.5379999999999999
adria pedrosa,Sevilla,La-Liga,2024-2025,38,3,97,100,0.282
pejino,Las Palmas,La-Liga,2024-2025,1,0,1,2,
andy pelmard,Las Palmas,La-Liga,2024-2025,2,0,2,4,0.5
inaki pena,Barcelona,La-Liga,2024-2025,0,0,0,65,1.0
ruben pena,Osasuna,La-Liga,2024-2025,12,0,52,33,0.318
nicolas pepe,Villarreal,La-Liga,2024-2025,20,8,44,53,0.47100000000000003
peque,Sevilla,La-Liga,2024-2025,22,2,10,41,0.235
ayoze perez,Villarreal,La-Liga,2024-2025,22,6,15,56,0.289
carles perez,Getafe,La-Liga,2024-2025,44,1,42,50,0.325
francisco perez,Valencia,La-Liga,2024-2025,6,0,27,27,0.41700000000000004
kike perez,Valladolid,La-Liga,2024-2025,32,1,33,60,0.444
luis perez,Valladolid,La-Liga,2024-2025,13,3,105,77,0.306
romain perraud,Betis,La-Liga,2024-2025,26,5,71,95,0.34600000000000003
valentin pezzolesi,Las Palmas,La-Liga,2024-2025,0,0,0,1,
pica,Alavés,La-Liga,2024-2025,6,0,2,13,0.621
yeremi pino,Villarreal,La-Liga,2024-2025,49,15,47,93,0.429
portu,Girona,La-Liga,2024-2025,14,7,26,24,0.455
benat prados,Athletic Club,La-Liga,2024-2025,40,0,9,91,0.569
abdon prats,Mallorca,La-Liga,2024-2025,6,2,0,13,0.373
javi puado,Espanyol,La-Liga,2024-2025,22,6,27,105,0.231
dani raba,Leganés,La-Liga,2024-2025,40,9,90,90,0.25
arnau rafus,Valladolid,La-Liga,2024-2025,0,0,0,3,
antonio raillo,Mallorca,La-Liga,2024-2025,50,2,3,104,0.611
benito ramirez,Las Palmas,La-Liga,2024-2025,5,0,39,32,0.267
sandro ramirez,Las Palmas,La-Liga,2024-2025,26,5,122,93,0.429
jacobo ramon,Real Madrid,La-Liga,2024-2025,2,0,0,5,0.5329999999999999
raphinha,Barcelona,La-Liga,2024-2025,11,10,215,94,0.6
andrei ratiu,Rayo Vallecano,La-Liga,2024-2025,24,5,77,169,0.377
raul,Osasuna,La-Liga,2024-2025,11,6,6,14,0.47600000000000003
abderrahman rebbach,Alavés,La-Liga,2024-2025,5,2,17,16,0.083
alex remiro,Real Sociedad,La-Liga,2024-2025,0,0,0,64,1.0
daniel requena,Villarreal,La-Liga,2024-2025,1,0,0,0,
diego rico,Getafe,La-Liga,2024-2025,38,3,148,132,0.578
luis rioja,Alavés,La-Liga,2024-2025,1,0,6,1,
luis rioja,Valencia,La-Liga,2024-2025,18,11,203,111,0.405
rodrigo riquelme,Atlético Madrid,La-Liga,2024-2025,8,4,34,21,0.5
alberto risco,Getafe,La-Liga,2024-2025,1,0,4,5,0.25
mihailo ristic,Celta Vigo,La-Liga,2024-2025,8,0,13,17,0.25
gorka rivera alonso,Getafe,La-Liga,2024-2025,1,0,0,1,0.0
marc roca,Betis,La-Liga,2024-2025,16,0,10,51,0.278
rodri,Betis,La-Liga,2024-2025,2,1,6,10,0.0
adrian rodriguez,Alavés,La-Liga,2024-2025,0,0,0,0,
alvaro rodriguez,Getafe,La-Liga,2024-2025,30,6,5,31,0.5529999999999999
oscar rodriguez arnaiz,Leganés,La-Liga,2024-2025,19,1,55,56,0.33299999999999996
arturo rodriguez,Las Palmas,La-Liga,2024-2025,0,0,2,1,0.0
damian rodriguez,Celta Vigo,La-Liga,2024-2025,13,0,30,49,0.0
dani rodriguez,Mallorca,La-Liga,2024-2025,51,8,116,70,0.42200000000000004
daniel rodriguez,Barcelona,La-Liga,2024-2025,0,0,3,0,
james rodriguez,Rayo Vallecano,La-Liga,2024-2025,2,3,13,8,0.4
javi rodriguez,Celta Vigo,La-Liga,2024-2025,37,0,4,87,0.5329999999999999
jesus rodriguez,Betis,La-Liga,2024-2025,17,2,18,58,0.273
kirian rodriguez,Las Palmas,La-Liga,2024-2025,9,0,18,100,0.433
ricardo rodriguez,Betis,La-Liga,2024-2025,12,0,15,55,0.614
rodrygo,Real Madrid,La-Liga,2024-2025,8,1,81,71,0.304
leo roman,Mallorca,La-Liga,2024-2025,0,0,0,8,
carlos romero,Espanyol,La-Liga,2024-2025,34,1,92,125,0.368
isaac romero,Sevilla,La-Liga,2024-2025,38,11,18,59,0.363
luka romero,Alavés,La-Liga,2024-2025,3,1,10,9,0.33299999999999996
oriol romeu,Girona,La-Liga,2024-2025,28,0,8,71,0.419
vitor roque,Betis,La-Liga,2024-2025,30,5,6,35,0.341
valentin rosier,Leganés,La-Liga,2024-2025,44,8,39,121,0.605
antonio rudiger,Real Madrid,La-Liga,2024-2025,15,2,4,102,0.593
aitor ruibal,Betis,La-Liga,2024-2025,10,2,32,71,0.35
abel ruiz,Girona,La-Liga,2024-2025,7,5,4,21,0.321
ferran ruiz,Girona,La-Liga,2024-2025,0,0,0,1,0.0
youssouf sabaly,Betis,La-Liga,2024-2025,18,1,31,87,0.409
umar sadiq,Valencia,La-Liga,2024-2025,29,13,0,14,0.5479999999999999
umar sadiq,Real Sociedad,La-Liga,2024-2025,8,5,2,5,0.45
jorge saenz,Leganés,La-Liga,2024-2025,30,1,0,58,0.519
jan salas,Mallorca,La-Liga,2024-2025,0,0,1,2,1.0
kike salas,Sevilla,La-Liga,2024-2025,21,0,9,95,0.7
albert sambi lokonga,Sevilla,La-Liga,2024-2025,22,0,2,69,0.667
chuky san jose,Valladolid,La-Liga,2024-2025,3,4,24,20,0.16699999999999998
oihan sancet,Athletic Club,La-Liga,2024-2025,16,5,18,77,0.48
antonio sanchez,Mallorca,La-Liga,2024-2025,24,4,33,77,0.273
ivan sanchez,Valladolid,La-Liga,2024-2025,15,3,114,59,0.5
javi sanchez,Valladolid,La-Liga,2024-2025,19,0,0,57,0.523
juanlu sanchez,Sevilla,La-Liga,2024-2025,18,1,40,66,0.5
manu sanchez,Alavés,La-Liga,2024-2025,56,1,78,105,0.2
maroan sannadi,Athletic Club,La-Liga,2024-2025,20,7,6,24,0.452
jesus santiago,Getafe,La-Liga,2024-2025,14,0,3,21,0.16699999999999998
aleksandar sedlar,Alavés,La-Liga,2024-2025,9,0,0,18,0.6
sergi,Leganés,La-Liga,2024-2025,30,7,1,80,0.521
nicolas serrano,Athletic Club,La-Liga,2024-2025,2,0,13,3,0.0
fabio silva,Las Palmas,La-Liga,2024-2025,39,20,21,48,0.495
rui silva,Betis,La-Liga,2024-2025,1,0,0,25,1.0
giuliano simeone,Atlético Madrid,La-Liga,2024-2025,23,7,49,72,0.324
unai simon,Athletic Club,La-Liga,2024-2025,0,0,0,33,1.0
daley sinkgraven,Las Palmas,La-Liga,2024-2025,2,0,4,6,1.0
jailson siqueira,Celta Vigo,La-Liga,2024-2025,4,0,1,32,0.514
antonio sivera,Alavés,La-Liga,2024-2025,4,0,0,21,0.833
justin smith,Espanyol,La-Liga,2024-2025,5,0,1,8,1.0
alex sola,Getafe,La-Liga,2024-2025,24,7,18,47,0.391
arnau sola,Villarreal,La-Liga,2024-2025,1,0,0,0,
jhon solis,Girona,La-Liga,2024-2025,9,0,3,27,0.375
david soria,Getafe,La-Liga,2024-2025,0,0,0,28,1.0
juan soriano,Leganés,La-Liga,2024-2025,0,0,0,5,
hugo sotelo,Celta Vigo,La-Liga,2024-2025,19,1,50,71,0.16699999999999998
djibril sow,Sevilla,La-Liga,2024-2025,23,0,9,110,0.511
carl starfelt,Celta Vigo,La-Liga,2024-2025,21,0,0,77,0.541
orri steinn oskarsson,Real Sociedad,La-Liga,2024-2025,7,10,7,15,0.36
stoichkov,Alavés,La-Liga,2024-2025,9,5,13,44,0.25
cristhian stuani,Girona,La-Liga,2024-2025,35,11,2,14,0.564
alex suarez,Las Palmas,La-Liga,2024-2025,27,1,1,68,0.342
denis suarez,Villarreal,La-Liga,2024-2025,1,0,25,25,0.14300000000000002
luka sucic,Real Sociedad,La-Liga,2024-2025,11,3,18,109,0.51
suso,Sevilla,La-Liga,2024-2025,6,2,59,31,0.28600000000000003
williot swedberg,Celta Vigo,La-Liga,2024-2025,21,7,18,46,0.348
mamadou sylla,Valladolid,La-Liga,2024-2025,16,13,9,35,0.414
wojciech szczesny,Barcelona,La-Liga,2024-2025,1,0,0,52,
alexander srloth,Atlético Madrid,La-Liga,2024-2025,26,8,5,41,0.662
renato tapia,Leganés,La-Liga,2024-2025,38,0,12,155,0.5710000000000001
cesar tarrega,Valencia,La-Liga,2024-2025,56,0,1,104,0.584
aurelien tchouameni,Real Madrid,La-Liga,2024-2025,26,0,12,143,0.733
alvaro tejero,Espanyol,La-Liga,2024-2025,14,1,113,64,0.455
martin tejon,Valencia,La-Liga,2024-2025,1,0,1,4,0.0
nahuel tenaglia,Alavés,La-Liga,2024-2025,37,2,85,117,0.469
marcandre ter stegen,Barcelona,La-Liga,2024-2025,0,0,0,14,1.0
ramon terrats,Villarreal,La-Liga,2024-2025,2,0,5,11,0.6
ramon terrats,Getafe,La-Liga,2024-2025,13,4,35,53,0.519
raul de tomas,Rayo Vallecano,La-Liga,2024-2025,1,0,0,2,
pablo torre,Barcelona,La-Liga,2024-2025,4,1,13,15,0.14300000000000002
david torres,Valladolid,La-Liga,2024-2025,13,0,3,27,0.488
ferran torres,Barcelona,La-Liga,2024-2025,5,6,17,27,0.35700000000000004
lucas torro,Osasuna,La-Liga,2024-2025,75,1,1,172,0.7040000000000001
hamari traore,Real Sociedad,La-Liga,2024-2025,12,0,9,29,0.5
oscar trejo,Rayo Vallecano,La-Liga,2024-2025,17,1,7,25,0.41700000000000004
viktor tsyhankov,Girona,La-Liga,2024-2025,14,4,124,69,0.33299999999999996
benat turrientes,Real Sociedad,La-Liga,2024-2025,13,0,19,45,0.35700000000000004
christantus uche,Getafe,La-Liga,2024-2025,55,19,22,110,0.423
naci unuvar,Espanyol,La-Liga,2024-2025,0,1,2,3,
oscar valentin,Rayo Vallecano,La-Liga,2024-2025,57,0,2,109,0.45799999999999996
german valera,Valencia,La-Liga,2024-2025,2,0,6,4,0.33299999999999996
martin valjent,Mallorca,La-Liga,2024-2025,15,0,11,102,0.544
jesus vallejo,Real Madrid,La-Liga,2024-2025,0,0,0,8,0.5
federico valverde,Real Madrid,La-Liga,2024-2025,12,1,26,174,0.643
siebe van der heyden,Mallorca,La-Liga,2024-2025,2,0,2,5,0.667
ruben vargas,Sevilla,La-Liga,2024-2025,11,3,37,31,0.5379999999999999
jose luis garcia vaya,Valencia,La-Liga,2024-2025,26,1,109,99,0.523
jesus vazquez,Valencia,La-Liga,2024-2025,17,1,23,42,0.48
lucas vazquez,Real Madrid,La-Liga,2024-2025,29,3,63,83,0.316
alejo veliz,Espanyol,La-Liga,2024-2025,20,5,0,20,0.46799999999999997
mikel vesga,Athletic Club,La-Liga,2024-2025,14,0,8,66,0.61
carlos vicente,Alavés,La-Liga,2024-2025,38,10,269,133,0.36200000000000004
pau victor,Barcelona,La-Liga,2024-2025,7,0,3,14,0.75
nacho vidal,Osasuna,La-Liga,2024-2025,2,0,2,5,0.75
fran vieites,Betis,La-Liga,2024-2025,0,0,0,7,1.0
sergio viera,Las Palmas,La-Liga,2024-2025,1,0,0,5,0.33299999999999996
asier villalibre,Alavés,La-Liga,2024-2025,11,2,2,7,0.647
ivan villar,Celta Vigo,La-Liga,2024-2025,0,0,0,10,0.5
viti,Las Palmas,La-Liga,2024-2025,28,0,45,85,0.486
daniel vivian,Athletic Club,La-Liga,2024-2025,27,1,8,164,0.581
krapyvtsov vladyslav,Girona,La-Liga,2024-2025,0,0,0,3,
inaki williams,Athletic Club,La-Liga,2024-2025,22,17,115,87,0.6
nico williams,Athletic Club,La-Liga,2024-2025,17,10,107,96,0.39299999999999996
axel witsel,Atlético Madrid,La-Liga,2024-2025,4,1,0,32,0.59
lamine yamal,Barcelona,La-Liga,2024-2025,30,13,108,123,0.25
daniel yanez,Real Madrid,La-Liga,2024-2025,0,0,0,0,
bertug yldrm,Getafe,La-Liga,2024-2025,33,14,7,24,0.537
arsen zakharyan,Real Sociedad,La-Liga,2024-2025,1,0,1,2,
bryan zaragoza,Osasuna,La-Liga,2024-2025,19,9,104,55,0.16699999999999998
igor zubeldia,Real Sociedad,La-Liga,2024-2025,38,0,1,86,0.44799999999999995
martin zubimendi,Real Sociedad,La-Liga,2024-2025,44,0,12,140,0.624
max aarons,Bournemouth,Premier-League,2024-2025,0,0,2,7,
joshua acheampong,Chelsea,Premier-League,2024-2025,0,0,0,7,0.14300000000000002
tyler adams,Bournemouth,Premier-League,2024-2025,45,0,3,114,0.633
tosin adarabioyo,Chelsea,Premier-League,2024-2025,8,1,0,41,0.6
simon adingra,Brighton,Premier-League,2024-2025,13,4,41,47,0.636
emmanuel agbadou,Wolves,Premier-League,2024-2025,7,1,2,83,0.565
asher agbinone,Crystal Palace,Premier-League,2024-2025,0,0,1,0,0.0
ola aina,Nott'ham Forest,Premier-League,2024-2025,23,2,59,190,0.406
rayan aitnouri,Wolves,Premier-League,2024-2025,30,6,94,145,0.423
kristoffer ajer,Brentford,Premier-League,2024-2025,13,2,14,42,0.54
manuel akanji,Manchester City,Premier-League,2024-2025,17,0,11,103,0.47600000000000003
nathan ake,Manchester City,Premier-League,2024-2025,2,0,1,24,0.565
carlos alcaraz,Southampton,Premier-League,2024-2025,1,0,1,2,1.0
carlos alcaraz,Everton,Premier-League,2024-2025,13,1,11,37,0.636
trent alexanderarnold,Liverpool,Premier-League,2024-2025,11,1,153,132,0.188
alisson,Liverpool,Premier-League,2024-2025,0,0,0,47,1.0
miguel almiron,Newcastle Utd,Premier-League,2024-2025,1,2,0,4,0.0
olabade aluko,Leicester City,Premier-League,2024-2025,0,0,0,0,
edson alvarez,West Ham,Premier-League,2024-2025,42,4,6,88,0.5660000000000001
will alves,Leicester City,Premier-League,2024-2025,0,0,0,0,
harry amass,Manchester Utd,Premier-League,2024-2025,2,1,9,26,0.5379999999999999
samuel amoameyaw,Southampton,Premier-League,2024-2025,1,0,2,1,0.0
mathis amougou,Chelsea,Premier-League,2024-2025,0,0,0,2,
joachim andersen,Crystal Palace,Premier-League,2024-2025,2,0,1,7,1.0
joachim andersen,Fulham,Premier-League,2024-2025,18,0,12,122,0.642
elliot anderson,Nott'ham Forest,Premier-League,2024-2025,49,4,86,207,0.6509999999999999
andre,Wolves,Premier-League,2024-2025,36,0,0,194,0.25
michail antonio,West Ham,Premier-League,2024-2025,12,4,25,22,0.436
antony,Manchester Utd,Premier-League,2024-2025,2,0,5,11,0.0
julian araujo,Bournemouth,Premier-League,2024-2025,7,1,9,29,0.25
cameron archer,Southampton,Premier-League,2024-2025,16,8,3,35,0.231
alphonse areola,West Ham,Premier-League,2024-2025,0,0,0,29,1.0
joe aribo,Southampton,Premier-League,2024-2025,20,1,10,112,0.51
adam armstrong,Southampton,Premier-League,2024-2025,12,9,14,23,0.35700000000000004
harrison armstrong,Everton,Premier-League,2024-2025,2,0,1,2,0.0
kepa arrizabalaga,Bournemouth,Premier-League,2024-2025,2,0,0,56,0.875
marco asensio,Aston Villa,Premier-League,2024-2025,11,2,38,28,0.0
brandon austin,Tottenham,Premier-League,2024-2025,0,0,0,1,1.0
taiwo awoniyi,Nott'ham Forest,Premier-League,2024-2025,8,1,2,18,0.255
yasin ayari,Brighton,Premier-League,2024-2025,37,3,69,118,0.444
jordan ayew,Crystal Palace,Premier-League,2024-2025,1,0,1,1,0.5
jordan ayew,Leicester City,Premier-League,2024-2025,30,7,60,93,0.316
benoit badiashile,Chelsea,Premier-League,2024-2025,6,0,0,18,0.8
leon bailey,Aston Villa,Premier-League,2024-2025,12,3,34,59,0.4
carlos baleba,Brighton,Premier-League,2024-2025,40,0,9,197,0.6
ross barkley,Aston Villa,Premier-League,2024-2025,8,0,1,43,0.6
harvey barnes,Newcastle Utd,Premier-League,2024-2025,15,5,47,55,0.28600000000000003
calvin bassey,Fulham,Premier-League,2024-2025,26,2,8,168,0.5660000000000001
altay bayndr,Manchester Utd,Premier-League,2024-2025,0,0,0,3,0.5
jan bednarek,Southampton,Premier-League,2024-2025,31,0,1,106,0.657
armel bella kotchap,Southampton,Premier-League,2024-2025,3,0,0,19,0.545
jeanricner bellegarde,Wolves,Premier-League,2024-2025,31,1,44,62,0.345
rodrigo bentancur,Tottenham,Premier-League,2024-2025,34,1,4,121,0.545
daniel bentley,Wolves,Premier-League,2024-2025,0,0,0,4,1.0
sander berge,Fulham,Premier-League,2024-2025,31,0,3,126,0.56
lucas bergvall,Tottenham,Premier-League,2024-2025,20,0,21,73,0.529
victor bernth kristiansen,Leicester City,Premier-League,2024-2025,19,3,97,99,0.344
beto,Everton,Premier-League,2024-2025,33,16,4,40,0.485
philip billing,Bournemouth,Premier-League,2024-2025,3,0,10,14,0.6
yves bissouma,Tottenham,Premier-League,2024-2025,28,0,2,85,0.5
oscar bobb,Manchester City,Premier-League,2024-2025,0,0,0,2,
lamare bogarde,Aston Villa,Premier-League,2024-2025,8,0,0,13,0.5
willy boly,Nott'ham Forest,Premier-League,2024-2025,1,0,0,5,0.75
sven botman,Newcastle Utd,Premier-League,2024-2025,5,0,0,14,0.654
jarrod bowen,West Ham,Premier-League,2024-2025,20,10,106,129,0.2
conor bradley,Liverpool,Premier-League,2024-2025,12,1,7,51,0.611
jarrad branthwaite,Everton,Premier-League,2024-2025,12,1,5,93,0.5920000000000001
james bree,Southampton,Premier-League,2024-2025,4,0,29,65,0.632
ben brereton,Southampton,Premier-League,2024-2025,4,1,5,16,0.563
nathan broadhead,Ipswich Town,Premier-League,2024-2025,4,2,9,32,0.091
armando broja,Everton,Premier-League,2024-2025,6,3,1,9,0.462
david brooks,Bournemouth,Premier-League,2024-2025,11,0,52,50,0.41200000000000003
emi buendia,Aston Villa,Premier-League,2024-2025,4,0,0,8,0.0
santiago bueno,Wolves,Premier-League,2024-2025,26,0,0,43,0.53
facundo buonanotte,Leicester City,Premier-League,2024-2025,37,3,43,79,0.33299999999999996
cameron burgess,Ipswich Town,Premier-League,2024-2025,6,1,0,44,0.667
dan burn,Newcastle Utd,Premier-League,2024-2025,34,5,3,103,0.6609999999999999
wes burns,Ipswich Town,Premier-League,2024-2025,4,0,46,50,0.276
nathan butleroyedeji,Arsenal,Premier-League,2024-2025,0,0,0,0,
moises caicedo,Chelsea,Premier-League,2024-2025,70,0,10,229,0.6859999999999999
tom cairney,Fulham,Premier-League,2024-2025,8,0,20,52,0.35700000000000004
jens cajuste,Ipswich Town,Premier-League,2024-2025,24,0,10,107,0.371
riccardo calafiori,Arsenal,Premier-League,2024-2025,16,3,11,35,0.611
dominic calvertlewin,Everton,Premier-League,2024-2025,27,27,6,35,0.512
diego carlos,Aston Villa,Premier-League,2024-2025,11,1,0,36,0.524
fabio carvalho,Brentford,Premier-League,2024-2025,5,1,10,30,0.25
casemiro,Manchester Utd,Premier-League,2024-2025,20,4,20,103,0.655
kaelan casey,West Ham,Premier-League,2024-2025,0,0,0,0,1.0
matty cash,Aston Villa,Premier-League,2024-2025,27,1,40,81,0.5
eiran cashin,Brighton,Premier-League,2024-2025,0,0,1,1,0.667
timothy castagne,Fulham,Premier-League,2024-2025,15,1,37,57,0.493
trevoh chalobah,Crystal Palace,Premier-League,2024-2025,10,1,7,56,0.537
trevoh chalobah,Chelsea,Premier-League,2024-2025,9,0,3,29,0.657
conor chaplin,Ipswich Town,Premier-League,2024-2025,11,0,9,27,0.25
youssef chermiti,Everton,Premier-League,2024-2025,1,2,1,0,0.667
federico chiesa,Liverpool,Premier-League,2024-2025,3,0,2,6,0.0
ben chilwell,Crystal Palace,Premier-League,2024-2025,2,2,7,20,0.429
chiquinho,Wolves,Premier-League,2024-2025,1,0,1,1,
hamza choudhury,Leicester City,Premier-League,2024-2025,1,0,5,2,
ryan christie,Bournemouth,Premier-League,2024-2025,43,1,48,182,0.41700000000000004
harry clarke,Ipswich Town,Premier-League,2024-2025,5,0,5,17,0.7140000000000001
jack clarke,Ipswich Town,Premier-League,2024-2025,15,3,13,75,0.28
nathaniel clyne,Crystal Palace,Premier-League,2024-2025,2,0,7,10,0.125
conor coady,Leicester City,Premier-League,2024-2025,8,1,0,62,0.371
seamus coleman,Everton,Premier-League,2024-2025,0,0,4,7,0.667
nathan collins,Brentford,Premier-League,2024-2025,29,6,8,162,0.629
toby collyer,Manchester Utd,Premier-League,2024-2025,2,0,0,17,0.75
levi colwill,Chelsea,Premier-League,2024-2025,45,5,13,121,0.607
lewis cook,Bournemouth,Premier-League,2024-2025,49,3,132,187,0.547
maxwel cornet,Southampton,Premier-League,2024-2025,0,1,3,2,1.0
vladimir coufal,West Ham,Premier-League,2024-2025,22,0,28,39,0.59
woyo coulibaly,Leicester City,Premier-League,2024-2025,2,0,0,14,0.0
aaron cresswell,West Ham,Premier-League,2024-2025,4,0,36,36,0.5
marc cucurella,Chelsea,Premier-League,2024-2025,37,3,31,130,0.36
jorge cuenca,Fulham,Premier-League,2024-2025,2,0,1,10,0.667
matheus cunha,Wolves,Premier-League,2024-2025,42,8,142,125,0.31
patson daka,Leicester City,Premier-League,2024-2025,15,3,3,18,0.263
diogo dalot,Manchester Utd,Premier-League,2024-2025,40,4,66,167,0.644
mikkel damsgaard,Brentford,Premier-League,2024-2025,18,6,144,179,0.308
danilo,Nott'ham Forest,Premier-League,2024-2025,2,0,3,19,0.33299999999999996
jayden danns,Liverpool,Premier-League,2024-2025,0,0,0,0,
kevin danso,Tottenham,Premier-League,2024-2025,9,0,1,27,0.636
ben davies,Tottenham,Premier-League,2024-2025,17,0,4,41,0.542
leif davis,Ipswich Town,Premier-League,2024-2025,27,5,161,113,0.596
craig dawson,Wolves,Premier-League,2024-2025,6,2,0,35,0.6559999999999999
kevin de bruyne,Manchester City,Premier-League,2024-2025,17,5,145,64,0.23800000000000002
bobby de cordovareid,Leicester City,Premier-League,2024-2025,9,4,15,29,0.3
liam delap,Ipswich Town,Premier-League,2024-2025,72,14,5,68,0.426
sepp van den berg,Brentford,Premier-League,2024-2025,23,1,7,97,0.55
justin devenny,Crystal Palace,Premier-League,2024-2025,8,1,17,27,0.133
kiernan dewsburyhall,Chelsea,Premier-League,2024-2025,4,0,2,9,0.0
amad diallo,Manchester Utd,Premier-League,2024-2025,21,9,42,109,0.4
ruben dias,Manchester City,Premier-League,2024-2025,12,0,3,78,0.521
luis diaz,Liverpool,Premier-League,2024-2025,48,10,32,105,0.255
tyler dibling,Southampton,Premier-League,2024-2025,30,2,28,80,0.28600000000000003
