Player,Squad,Liga,Season,Sh,SoT,G/Sh,xG,npxG,npxG/Sh,G-xG
matheus cunha,Wolves,Premier-League,2024-2025,110,44,0.14,8.6,8.6,0.08,6.4
patson daka,Leicester City,Premier-League,2024-2025,15,4,0.07,1.3,1.3,0.08,-0.3
diogo dalot,Manchester Utd,Premier-League,2024-2025,25,5,0.0,2.0,2.0,0.08,-2.0
mikkel damsgaard,Brentford,Premier-League,2024-2025,35,7,0.06,2.8,2.8,0.08,-0.8
danilo,Nott'ham Forest,Premier-League,2024-2025,0,0,,0.0,0.0,,0.0
jayden danns,Liverpool,Premier-League,2024-2025,0,0,,0.0,0.0,,0.0
kevin danso,Tottenham,Premier-League,2024-2025,7,3,0.0,0.4,0.4,0.06,-0.4
ben davies,Tottenham,Premier-League,2024-2025,5,1,0.0,0.3,0.3,0.06,-0.3
leif davis,Ipswich Town,Premier-League,2024-2025,16,2,0.06,1.0,1.0,0.06,0.0
craig dawson,Wolves,Premier-League,2024-2025,5,1,0.0,0.5,0.5,0.1,-0.5
kevin de bruyne,Manchester City,Premier-League,2024-2025,57,15,0.07,5.1,5.1,0.09,-1.1
bobby de cordovareid,Leicester City,Premier-League,2024-2025,7,3,0.14,0.8,0.8,0.11,0.2
liam delap,Ipswich Town,Premier-League,2024-2025,66,29,0.15,9.3,7.8,0.12,2.7
sepp van den berg,Brentford,Premier-League,2024-2025,20,6,0.0,2.0,2.0,0.1,-2.0
justin devenny,Crystal Palace,Premier-League,2024-2025,10,6,0.1,0.8,0.8,0.08,0.2
kiernan dewsburyhall,Chelsea,Premier-League,2024-2025,1,0,0.0,0.2,0.2,0.22,-0.2
amad diallo,Manchester Utd,Premier-League,2024-2025,47,17,0.17,4.7,4.7,0.1,3.3
ruben dias,Manchester City,Premier-League,2024-2025,21,7,0.0,1.5,1.5,0.07,-1.5
luis diaz,Liverpool,Premier-League,2024-2025,71,30,0.18,12.0,12.0,0.17,1.0
tyler dibling,Southampton,Premier-League,2024-2025,28,9,0.07,2.5,2.5,0.09,-0.5
lucas digne,Aston Villa,Premier-League,2024-2025,13,3,0.0,0.8,0.8,0.06,-0.8
issa diop,Fulham,Premier-League,2024-2025,5,2,0.0,0.5,0.5,0.11,-0.5
axel disasi,Aston Villa,Premier-League,2024-2025,2,0,0.0,0.1,0.1,0.04,-0.1
axel disasi,Chelsea,Premier-League,2024-2025,2,1,0.5,0.3,0.3,0.14,0.7
roman dixon,Everton,Premier-League,2024-2025,0,0,,0.0,0.0,,0.0
nasser djiga,Wolves,Premier-League,2024-2025,0,0,,0.0,0.0,,0.0
matt doherty,Wolves,Premier-League,2024-2025,10,3,0.2,1.0,1.0,0.1,1.0
jeremy doku,Manchester City,Premier-League,2024-2025,29,9,0.1,1.3,1.3,0.05,1.7
nicolas dominguez,Nott'ham Forest,Premier-League,2024-2025,21,9,0.0,1.5,1.5,0.07,-1.5
patrick dorgu,Manchester Utd,Premier-League,2024-2025,10,2,0.0,0.4,0.4,0.04,-0.4
alfie dorrington,Tottenham,Premier-League,2024-2025,0,0,,0.0,0.0,,0.0
abdoulaye doucoure,Everton,Premier-League,2024-2025,31,9,0.1,4.1,4.1,0.13,-1.1
cheick doucoure,Crystal Palace,Premier-League,2024-2025,7,0,0.0,0.4,0.4,0.06,-0.4
flynn downes,Southampton,Premier-League,2024-2025,10,3,0.1,0.6,0.6,0.06,0.4
tommy doyle,Wolves,Premier-League,2024-2025,9,2,0.0,0.6,0.6,0.06,-0.6
radu dragusin,Tottenham,Premier-League,2024-2025,5,1,0.0,0.1,0.1,0.02,-0.1
martin dubravka,Newcastle Utd,Premier-League,2024-2025,0,0,,0.0,0.0,,0.0
lewis dunk,Brighton,Premier-League,2024-2025,12,3,0.0,0.8,0.8,0.07,-0.8
jader duran,Aston Villa,Premier-League,2024-2025,31,15,0.23,4.9,4.9,0.16,2.1
claudio echeverri,Manchester City,Premier-League,2024-2025,0,0,,0.0,0.0,,0.0
ederson,Manchester City,Premier-League,2024-2025,0,0,,0.0,0.0,,0.0
george edmundson,Ipswich Town,Premier-League,2024-2025,0,0,,0.0,0.0,,0.0
odsonne edouard,Crystal Palace,Premier-League,2024-2025,5,1,0.0,0.4,0.4,0.08,-0.4
odsonne edouard,Leicester City,Premier-League,2024-2025,0,0,,0.0,0.0,,0.0
samuel edozie,Southampton,Premier-League,2024-2025,0,0,,0.0,0.0,,0.0
ronnie edwards,Southampton,Premier-League,2024-2025,0,0,,0.0,0.0,,0.0
anthony elanga,Nott'ham Forest,Premier-League,2024-2025,44,24,0.14,4.5,4.5,0.1,1.5
harvey elliott,Liverpool,Premier-League,2024-2025,17,4,0.06,1.8,1.8,0.1,-0.8
yunus emre konak,Brentford,Premier-League,2024-2025,1,0,0.0,0.2,0.2,0.15,-0.2
julio enciso,Ipswich Town,Premier-League,2024-2025,32,11,0.06,1.7,1.7,0.05,0.3
julio enciso,Brighton,Premier-League,2024-2025,20,11,0.0,1.0,1.0,0.05,-1.0
wataru endo,Liverpool,Premier-League,2024-2025,0,0,,0.0,0.0,,0.0
christian eriksen,Manchester Utd,Premier-League,2024-2025,14,1,0.0,1.4,0.6,0.04,-0.4
romain esse,Crystal Palace,Premier-League,2024-2025,1,1,1.0,0.3,0.3,0.32,0.7
pervis estupinan,Brighton,Premier-League,2024-2025,28,9,0.04,1.2,1.2,0.04,-0.2
evanilson,Bournemouth,Premier-League,2024-2025,72,31,0.14,12.5,11.7,0.16,-2.5
jake evans,Leicester City,Premier-League,2024-2025,0,0,,0.0,0.0,,0.0
jonny evans,Manchester Utd,Premier-League,2024-2025,2,1,0.0,0.1,0.1,0.06,-0.1
eberechi eze,Crystal Palace,Premier-League,2024-2025,100,27,0.07,10.5,8.9,0.09,-2.5
ukasz fabianski,West Ham,Premier-League,2024-2025,0,0,,0.0,0.0,,0.0
wout faes,Leicester City,Premier-League,2024-2025,12,1,0.08,1.5,1.5,0.13,-0.5
abdul fatawu issahaku,Leicester City,Premier-League,2024-2025,13,5,0.0,0.4,0.4,0.03,-0.4
joao felix,Chelsea,Premier-League,2024-2025,20,5,0.05,2.2,2.2,0.11,-1.2
evan ferguson,West Ham,Premier-League,2024-2025,5,1,0.0,0.6,0.6,0.11,-0.6
evan ferguson,Brighton,Premier-League,2024-2025,7,2,0.14,0.5,0.5,0.08,0.5
bruno fernandes,Manchester Utd,Premier-League,2024-2025,93,26,0.05,9.9,7.6,0.08,-1.9
mateus fernandes,Southampton,Premier-League,2024-2025,42,14,0.05,4.0,4.0,0.1,-2.0
enzo fernandez,Chelsea,Premier-League,2024-2025,53,20,0.11,6.1,6.1,0.11,-0.1
mark flekken,Brentford,Premier-League,2024-2025,0,0,,0.0,0.0,,0.0
phil foden,Manchester City,Premier-League,2024-2025,54,16,0.13,5.2,5.2,0.1,1.8
wesley fofana,Chelsea,Premier-League,2024-2025,3,0,0.0,0.4,0.4,0.13,-0.4
carlos forbs,Wolves,Premier-League,2024-2025,2,0,0.0,0.1,0.1,0.07,-0.1
fraser forster,Tottenham,Premier-League,2024-2025,0,0,,0.0,0.0,,0.0
matheus franca,Crystal Palace,Premier-League,2024-2025,6,3,0.17,0.3,0.3,0.04,0.7
ryan fraser,Southampton,Premier-League,2024-2025,1,1,0.0,0.0,0.0,0.03,0.0
tyler fredricson,Manchester Utd,Premier-League,2024-2025,0,0,,0.0,0.0,,0.0
niclas fullkrug,West Ham,Premier-League,2024-2025,16,7,0.19,2.2,2.2,0.14,0.8
cody gakpo,Liverpool,Premier-League,2024-2025,57,22,0.18,7.1,7.1,0.12,2.9
idrissa gana gueye,Everton,Premier-League,2024-2025,27,5,0.0,1.1,1.1,0.04,-1.1
andres garcia,Aston Villa,Premier-League,2024-2025,2,0,0.0,0.0,0.0,0.02,0.0
alejandro garnacho,Manchester Utd,Premier-League,2024-2025,84,29,0.07,7.3,7.3,0.09,-1.3
james garner,Everton,Premier-League,2024-2025,12,4,0.0,0.7,0.7,0.06,-0.7
tyrique george,Chelsea,Premier-League,2024-2025,3,1,0.33,0.2,0.2,0.07,0.8
morgan gibbswhite,Nott'ham Forest,Premier-League,2024-2025,61,21,0.11,6.3,6.3,0.1,0.7
billy gilmour,Brighton,Premier-League,2024-2025,1,0,0.0,0.1,0.1,0.08,-0.1
ben godfrey,Ipswich Town,Premier-League,2024-2025,0,0,,0.0,0.0,,0.0
martial godo,Fulham,Premier-League,2024-2025,0,0,,0.0,0.0,,0.0
michael golding,Leicester City,Premier-League,2024-2025,0,0,,0.0,0.0,,0.0
joao gomes,Wolves,Premier-League,2024-2025,35,7,0.09,2.9,2.9,0.08,0.1
rodrigo gomes,Wolves,Premier-League,2024-2025,7,3,0.29,0.7,0.7,0.1,1.3
toti gomes,Wolves,Premier-League,2024-2025,7,2,0.0,0.7,0.7,0.1,-0.7
diego gomez,Brighton,Premier-League,2024-2025,9,3,0.11,0.9,0.9,0.09,0.1
joe gomez,Liverpool,Premier-League,2024-2025,3,2,0.0,0.3,0.3,0.11,-0.3
nicolas gonzalez,Manchester City,Premier-League,2024-2025,9,2,0.11,0.5,0.5,0.05,0.5
anthony gordon,Newcastle Utd,Premier-League,2024-2025,57,16,0.09,8.0,6.5,0.11,-2.0
ryan gravenberch,Liverpool,Premier-League,2024-2025,20,5,0.0,1.1,1.1,0.06,-1.1
archie gray,Tottenham,Premier-League,2024-2025,1,1,0.0,0.0,0.0,0.02,0.0
jack grealish,Manchester City,Premier-League,2024-2025,15,5,0.07,1.1,1.1,0.08,-0.1
jacob greaves,Ipswich Town,Premier-League,2024-2025,10,4,0.1,1.3,1.3,0.13,-0.3
brajan gruda,Brighton,Premier-League,2024-2025,11,5,0.09,1.2,1.2,0.11,-0.2
albert grnbaek,Southampton,Premier-League,2024-2025,2,0,0.0,0.1,0.1,0.06,-0.1
goncalo guedes,Wolves,Premier-League,2024-2025,27,8,0.07,3.2,3.2,0.12,-1.2
marc guehi,Crystal Palace,Premier-League,2024-2025,15,7,0.2,2.0,2.0,0.13,1.0
luis guilherme,West Ham,Premier-League,2024-2025,4,1,0.0,0.4,0.4,0.1,-0.4
bruno guimaraes,Newcastle Utd,Premier-League,2024-2025,45,13,0.11,4.3,4.3,0.1,0.7
marc guiu,Chelsea,Premier-League,2024-2025,0,0,,0.0,0.0,,0.0
ilkay gundogan,Manchester City,Premier-League,2024-2025,27,7,0.04,3.2,3.2,0.12,-2.2
malo gusto,Chelsea,Premier-League,2024-2025,22,4,0.0,1.7,1.7,0.08,-1.7
josko gvardiol,Manchester City,Premier-League,2024-2025,40,12,0.13,4.6,4.3,0.11,0.4
erling haaland,Manchester City,Premier-League,2024-2025,104,55,0.18,22.0,18.8,0.19,0.0
lewis hall,Newcastle Utd,Premier-League,2024-2025,11,1,0.0,0.4,0.4,0.04,-0.4
ali al hamadi,Ipswich Town,Premier-League,2024-2025,4,0,0.0,0.4,0.4,0.09,-0.4
marcus harness,Ipswich Town,Premier-League,2024-2025,0,0,,0.0,0.0,,0.0
jack harrison,Everton,Premier-League,2024-2025,29,7,0.03,3.5,3.5,0.12,-2.5
taylor harwoodbellis,Southampton,Premier-League,2024-2025,20,8,0.05,1.8,1.8,0.09,-0.8
kai havertz,Arsenal,Premier-League,2024-2025,53,21,0.17,9.5,9.5,0.18,-0.5
ayden heaven,Manchester Utd,Premier-League,2024-2025,2,0,0.0,0.1,0.1,0.07,-0.1
jan paul van hecke,Brighton,Premier-League,2024-2025,17,5,0.06,1.3,1.3,0.08,-0.3
hwang heechan,Wolves,Premier-League,2024-2025,5,3,0.4,0.8,0.8,0.16,1.2
dean henderson,Crystal Palace,Premier-League,2024-2025,1,0,0.0,0.0,0.0,0.01,0.0
rico henry,Brentford,Premier-League,2024-2025,0,0,,0.0,0.0,,0.0
mads hermansen,Leicester City,Premier-League,2024-2025,0,0,,0.0,0.0,,0.0
son heungmin,Tottenham,Premier-League,2024-2025,55,24,0.11,7.2,5.7,0.11,-0.2
james hill,Bournemouth,Premier-League,2024-2025,6,0,0.0,0.3,0.3,0.05,-0.3
jack hinshelwood,Brighton,Premier-League,2024-2025,18,10,0.28,2.7,2.7,0.15,2.3
george hirst,Ipswich Town,Premier-League,2024-2025,14,7,0.21,2.1,2.1,0.15,0.9
mason holgate,Everton,Premier-League,2024-2025,0,0,,0.0,0.0,,0.0
harry howell,Brighton,Premier-League,2024-2025,0,0,,0.0,0.0,,0.0
callum hudsonodoi,Nott'ham Forest,Premier-League,2024-2025,37,17,0.14,2.5,2.5,0.07,2.5
will hughes,Crystal Palace,Premier-League,2024-2025,22,1,0.0,1.1,1.1,0.05,-1.1
dean huijsen,Bournemouth,Premier-League,2024-2025,18,3,0.17,1.9,1.9,0.1,1.1
omari hutchinson,Ipswich Town,Premier-League,2024-2025,45,18,0.07,2.9,2.9,0.06,0.1
rasmus hjlund,Manchester Utd,Premier-League,2024-2025,32,13,0.13,5.3,5.3,0.16,-1.3
igor,Brighton,Premier-League,2024-2025,1,0,0.0,0.0,0.0,0.05,0.0
danny ings,West Ham,Premier-League,2024-2025,14,5,0.07,2.3,2.3,0.16,-1.3
tim iroegbunam,Everton,Premier-League,2024-2025,5,0,0.0,0.2,0.2,0.05,-0.2
andy irving,West Ham,Premier-League,2024-2025,4,2,0.0,0.1,0.1,0.03,-0.1
alexander isak,Newcastle Utd,Premier-League,2024-2025,95,41,0.2,20.3,17.2,0.18,2.7
alex iwobi,Fulham,Premier-League,2024-2025,68,29,0.13,4.7,4.7,0.07,4.3
nicolas jackson,Chelsea,Premier-League,2024-2025,76,34,0.13,12.3,12.3,0.16,-2.3
reece james,Chelsea,Premier-League,2024-2025,11,3,0.09,0.4,0.4,0.04,0.6
vitaly janelt,Brentford,Premier-League,2024-2025,14,4,0.07,0.8,0.8,0.06,0.2
vitezslav jaros,Liverpool,Premier-League,2024-2025,0,0,,0.0,0.0,,0.0
daniel jebbison,Bournemouth,Premier-League,2024-2025,5,2,0.2,1.0,1.0,0.2,0.0
mathias jensen,Brentford,Premier-League,2024-2025,6,1,0.0,0.2,0.2,0.04,-0.2
gabriel jesus,Arsenal,Premier-League,2024-2025,20,7,0.15,3.0,3.0,0.15,0.0
raul jimenez,Fulham,Premier-League,2024-2025,93,30,0.1,12.0,9.6,0.1,0.0
kim jisoo,Brentford,Premier-League,2024-2025,0,0,,0.0,0.0,,0.0
joao pedro,Brighton,Premier-League,2024-2025,42,15,0.12,8.9,5.0,0.12,1.1
joelinton,Newcastle Utd,Premier-League,2024-2025,45,13,0.09,3.9,3.9,0.09,0.1
ben johnson,Ipswich Town,Premier-League,2024-2025,7,3,0.14,1.1,1.1,0.15,-0.1
brennan johnson,Tottenham,Premier-League,2024-2025,54,20,0.2,10.4,10.4,0.19,0.6
sam johnstone,Wolves,Premier-League,2024-2025,0,0,,0.0,0.0,,0.0
curtis jones,Liverpool,Premier-League,2024-2025,34,13,0.09,4.3,4.3,0.13,-1.3
jorginho,Arsenal,Premier-League,2024-2025,2,0,0.0,0.1,0.1,0.03,-0.1
diogo jota,Liverpool,Premier-League,2024-2025,51,13,0.12,7.9,7.9,0.16,-1.9
james justin,Leicester City,Premier-League,2024-2025,25,6,0.08,1.5,1.5,0.06,0.5
filip jrgensen,Chelsea,Premier-League,2024-2025,0,0,,0.0,0.0,,0.0
ferdi kadioglu,Brighton,Premier-League,2024-2025,4,1,0.25,0.4,0.4,0.11,0.6
daichi kamada,Crystal Palace,Premier-League,2024-2025,20,4,0.0,1.1,1.1,0.05,-1.1
boubacar kamara,Aston Villa,Premier-League,2024-2025,10,3,0.1,0.8,0.8,0.08,0.2
joachim kayi sanda,Southampton,Premier-League,2024-2025,0,0,,0.0,0.0,,0.0
michael kayode,Brentford,Premier-League,2024-2025,2,0,0.0,0.2,0.2,0.1,-0.2
michael keane,Everton,Premier-League,2024-2025,10,4,0.3,0.6,0.6,0.06,2.4
caoimhin kelleher,Liverpool,Premier-League,2024-2025,0,0,,0.0,0.0,,0.0
lloyd kelly,Newcastle Utd,Premier-League,2024-2025,3,0,0.0,0.4,0.4,0.14,-0.4
milos kerkez,Bournemouth,Premier-League,2024-2025,19,5,0.11,0.6,0.5,0.03,1.4
bilal el khannouss,Leicester City,Premier-League,2024-2025,30,7,0.07,1.3,1.3,0.04,0.7
abdukodir khusanov,Manchester City,Premier-League,2024-2025,1,0,0.0,0.0,0.0,0.02,0.0
max kilman,West Ham,Premier-League,2024-2025,13,2,0.0,1.6,1.6,0.13,-1.6
joshua king,Fulham,Premier-League,2024-2025,3,0,0.0,0.3,0.3,0.11,-0.3
tom king,Wolves,Premier-League,2024-2025,0,0,,0.0,0.0,,0.0
antonin kinsky,Tottenham,Premier-League,2024-2025,0,0,,0.0,0.0,,0.0
jakub kiwior,Arsenal,Premier-League,2024-2025,3,1,0.33,0.2,0.2,0.06,0.8
justin kluivert,Bournemouth,Premier-League,2024-2025,57,23,0.11,10.3,5.6,0.1,1.7
ibrahima konate,Liverpool,Premier-League,2024-2025,19,3,0.05,1.7,1.7,0.09,-0.7
ezri konsa,Aston Villa,Premier-League,2024-2025,11,5,0.18,1.3,1.3,0.12,0.7
mateo kovacic,Manchester City,Premier-League,2024-2025,45,12,0.13,1.9,1.9,0.04,4.1
caleb kporha,Crystal Palace,Premier-League,2024-2025,0,0,,0.0,0.0,,0.0
emil krafth,Newcastle Utd,Premier-League,2024-2025,1,0,0.0,0.0,0.0,0.03,0.0
mohammed kudus,West Ham,Premier-League,2024-2025,75,21,0.07,6.9,6.9,0.09,-1.9
dejan kulusevski,Tottenham,Premier-League,2024-2025,47,17,0.15,4.2,4.2,0.09,2.8
maxence lacroix,Crystal Palace,Premier-League,2024-2025,30,5,0.03,3.4,3.4,0.11,-2.4
adam lallana,Southampton,Premier-League,2024-2025,3,0,0.0,0.2,0.2,0.06,-0.2
tariq lamptey,Brighton,Premier-League,2024-2025,6,2,0.33,0.4,0.4,0.06,1.6
will lankshear,Tottenham,Premier-League,2024-2025,0,0,,0.0,0.0,,0.0
romeo lavia,Chelsea,Premier-League,2024-2025,2,0,0.0,0.3,0.3,0.13,-0.3
mario lemina,Wolves,Premier-League,2024-2025,18,5,0.06,1.4,1.4,0.08,-0.4
bernd leno,Fulham,Premier-League,2024-2025,0,0,,0.0,0.0,,0.0
jefferson lerma,Crystal Palace,Premier-League,2024-2025,26,8,0.0,1.1,1.1,0.04,-1.1
rico lewis,Manchester City,Premier-League,2024-2025,10,2,0.1,1.4,1.4,0.14,-0.4
keane lewispotter,Brentford,Premier-League,2024-2025,28,14,0.04,3.1,3.1,0.11,-2.1
myles lewisskelly,Arsenal,Premier-League,2024-2025,3,1,0.33,0.2,0.2,0.05,0.8
matthijs de ligt,Manchester Utd,Premier-League,2024-2025,18,9,0.11,2.5,2.5,0.14,-0.5
pedro lima,Wolves,Premier-League,2024-2025,1,1,0.0,0.1,0.1,0.06,-0.1
victor lindelof,Manchester Utd,Premier-League,2024-2025,0,0,,0.0,0.0,,0.0
jesper lindstrm,Everton,Premier-League,2024-2025,28,10,0.0,2.1,2.1,0.08,-2.1
valentino livramento,Newcastle Utd,Premier-League,2024-2025,6,2,0.0,0.3,0.3,0.05,-0.3
sean longstaff,Newcastle Utd,Premier-League,2024-2025,6,1,0.0,0.6,0.6,0.1,-0.6
sasa lukic,Fulham,Premier-League,2024-2025,18,2,0.0,1.2,1.2,0.06,-1.2
joe lumley,Southampton,Premier-League,2024-2025,0,0,,0.0,0.0,,0.0
massimo luongo,Ipswich Town,Premier-League,2024-2025,0,0,,0.0,0.0,,0.0
ian maatsen,Aston Villa,Premier-League,2024-2025,19,5,0.05,0.9,0.9,0.05,0.1
alexis mac allister,Liverpool,Premier-League,2024-2025,38,13,0.13,2.8,2.8,0.07,2.2
james maddison,Tottenham,Premier-League,2024-2025,39,17,0.23,5.8,5.8,0.15,3.2
noni madueke,Chelsea,Premier-League,2024-2025,80,30,0.09,9.6,9.6,0.12,-2.6
gabriel magalhaes,Arsenal,Premier-League,2024-2025,22,5,0.14,2.6,2.6,0.12,0.4
edmondparis maghoma,Brentford,Premier-League,2024-2025,1,0,0.0,0.1,0.1,0.12,-0.1
harry maguire,Manchester Utd,Premier-League,2024-2025,15,6,0.07,1.8,1.8,0.12,-0.8
kobbie mainoo,Manchester Utd,Premier-League,2024-2025,15,2,0.0,0.7,0.7,0.05,-0.7
tyrell malacia,Manchester Utd,Premier-League,2024-2025,0,0,,0.0,0.0,,0.0
donyell malen,Aston Villa,Premier-League,2024-2025,15,9,0.2,2.2,2.2,0.14,0.8
mateus mane,Wolves,Premier-League,2024-2025,0,0,,0.0,0.0,,0.0
orel mangala,Everton,Premier-League,2024-2025,16,6,0.06,1.1,1.1,0.07,-0.1
ryan manning,Southampton,Premier-League,2024-2025,8,1,0.0,0.3,0.3,0.04,-0.3
solly march,Brighton,Premier-League,2024-2025,2,0,0.0,0.1,0.1,0.04,-0.1
omar marmoush,Manchester City,Premier-League,2024-2025,49,17,0.14,5.5,5.5,0.11,1.5
gabriel martinelli,Arsenal,Premier-League,2024-2025,55,24,0.15,7.4,7.4,0.14,0.6
emiliano martinez,Aston Villa,Premier-League,2024-2025,0,0,,0.0,0.0,,0.0
lisandro martinez,Manchester Utd,Premier-League,2024-2025,17,6,0.12,1.3,1.3,0.08,0.7
pape matar sarr,Tottenham,Premier-League,2024-2025,34,13,0.09,3.7,3.7,0.11,-0.7
jeanphilippe mateta,Crystal Palace,Premier-League,2024-2025,68,29,0.18,13.5,11.9,0.18,0.5
stephy mavididi,Leicester City,Premier-League,2024-2025,26,7,0.15,1.8,1.8,0.07,2.2
konstantinos mavropanos,West Ham,Premier-League,2024-2025,18,5,0.0,1.5,1.5,0.09,-1.5
noussair mazraoui,Manchester Utd,Premier-League,2024-2025,13,3,0.0,0.7,0.7,0.05,-0.7
bryan mbeumo,Brentford,Premier-League,2024-2025,79,34,0.19,12.3,7.5,0.1,7.7
james mcatee,Manchester City,Premier-League,2024-2025,12,4,0.25,2.8,2.8,0.23,0.2
kasey mcateer,Leicester City,Premier-League,2024-2025,13,7,0.08,1.0,1.0,0.08,0.0
alex mccarthy,Southampton,Premier-League,2024-2025,0,0,,0.0,0.0,,0.0
john mcginn,Aston Villa,Premier-League,2024-2025,31,5,0.03,3.1,2.8,0.09,-2.1
dwight mcneil,Everton,Premier-League,2024-2025,25,10,0.16,1.1,1.1,0.04,2.9
scott mctominay,Manchester Utd,Premier-League,2024-2025,1,0,0.0,0.1,0.1,0.07,-0.1
ben mee,Brentford,Premier-League,2024-2025,0,0,,0.0,0.0,,0.0
jayden meghoma,Brentford,Premier-League,2024-2025,0,0,,0.0,0.0,,0.0
mikel merino,Arsenal,Premier-League,2024-2025,38,13,0.18,5.9,5.9,0.16,1.1
shumaira mheuka,Chelsea,Premier-League,2024-2025,1,1,0.0,0.1,0.1,0.06,-0.1
nikola milenkovic,Nott'ham Forest,Premier-League,2024-2025,29,8,0.17,4.0,4.0,0.14,1.0
lewis miley,Newcastle Utd,Premier-League,2024-2025,3,2,0.33,0.5,0.5,0.18,0.5
james milner,Brighton,Premier-League,2024-2025,2,0,0.0,0.2,0.2,0.08,-0.2
tyrone mings,Aston Villa,Premier-League,2024-2025,9,1,0.0,0.8,0.8,0.09,-0.8
yankuba minteh,Brighton,Premier-League,2024-2025,34,16,0.18,4.1,4.1,0.12,1.9
tyrick mitchell,Crystal Palace,Premier-League,2024-2025,12,3,0.0,1.3,1.3,0.11,-1.3
kaoru mitoma,Brighton,Premier-League,2024-2025,57,27,0.18,9.2,9.2,0.16,0.8
jakub moder,Brighton,Premier-League,2024-2025,0,0,,0.0,0.0,,0.0
jeremy monga,Leicester City,Premier-League,2024-2025,3,1,0.0,0.2,0.2,0.05,-0.2
mikey moore,Tottenham,Premier-League,2024-2025,3,0,0.0,0.2,0.2,0.07,-0.2
morato,Nott'ham Forest,Premier-League,2024-2025,2,1,0.0,0.2,0.2,0.09,-0.2
alex moreno,Nott'ham Forest,Premier-League,2024-2025,6,0,0.0,0.2,0.2,0.03,-0.2
sam morsy,Ipswich Town,Premier-League,2024-2025,13,3,0.08,0.4,0.4,0.03,0.6
yerson mosquera,Wolves,Premier-League,2024-2025,2,0,0.0,0.3,0.3,0.17,-0.3
mason mount,Manchester Utd,Premier-League,2024-2025,20,9,0.05,3.2,3.2,0.17,-2.2
divin mubama,Manchester City,Premier-League,2024-2025,1,0,0.0,0.0,0.0,0.04,0.0
mykhailo mudryk,Chelsea,Premier-League,2024-2025,1,1,0.0,0.3,0.3,0.25,-0.3
marshall munetsi,Wolves,Premier-League,2024-2025,22,7,0.09,3.3,3.3,0.15,-1.3
rodrigo muniz,Fulham,Premier-League,2024-2025,39,19,0.21,5.8,5.8,0.15,2.2
daniel munoz,Crystal Palace,Premier-League,2024-2025,37,14,0.11,4.9,4.9,0.13,-0.9
arijanet muric,Ipswich Town,Premier-League,2024-2025,0,0,,0.0,0.0,,0.0
murillo,Nott'ham Forest,Premier-League,2024-2025,25,6,0.08,1.4,1.4,0.06,0.6
jacob murphy,Newcastle Utd,Premier-League,2024-2025,43,15,0.19,5.7,5.7,0.13,2.3
vitaliy mykolenko,Everton,Premier-League,2024-2025,14,1,0.07,0.5,0.5,0.04,0.5
iliman ndiaye,Everton,Premier-League,2024-2025,35,15,0.2,6.2,4.7,0.13,2.8
wilfred ndidi,Leicester City,Premier-League,2024-2025,22,8,0.0,2.0,2.0,0.09,-2.0
kosta nedeljkovic,Aston Villa,Premier-League,2024-2025,0,0,,0.0,0.0,,0.0
reiss nelson,Arsenal,Premier-League,2024-2025,0,0,,0.0,0.0,,0.0
reiss nelson,Fulham,Premier-League,2024-2025,12,6,0.08,1.1,1.1,0.09,-0.1
neto,Bournemouth,Premier-League,2024-2025,0,0,,0.0,0.0,,0.0
pedro neto,Chelsea,Premier-League,2024-2025,59,17,0.07,3.5,3.5,0.06,0.5
eddie nketiah,Crystal Palace,Premier-League,2024-2025,43,16,0.07,5.8,5.8,0.13,-2.8
christopher nkunku,Chelsea,Premier-League,2024-2025,25,11,0.12,4.8,4.8,0.19,-1.8
gustavo nunes,Brentford,Premier-League,2024-2025,0,0,,0.0,0.0,,0.0
matheus nunes,Manchester City,Premier-League,2024-2025,9,4,0.11,1.2,1.2,0.14,-0.2
darwin nunez,Liverpool,Premier-League,2024-2025,34,13,0.15,5.8,5.8,0.17,-0.8
ethan nwaneri,Arsenal,Premier-League,2024-2025,24,9,0.17,1.2,1.2,0.05,2.8
christian nrgaard,Brentford,Premier-League,2024-2025,39,15,0.13,4.3,4.3,0.11,0.7
jake obrien,Everton,Premier-League,2024-2025,6,3,0.33,0.8,0.8,0.13,1.2
matt oriley,Brighton,Premier-League,2024-2025,21,6,0.05,2.8,2.0,0.1,-0.8
dara oshea,Ipswich Town,Premier-League,2024-2025,22,2,0.0,1.3,1.3,0.06,-1.3
chidozie obimartin,Manchester Utd,Premier-League,2024-2025,5,1,0.0,0.7,0.7,0.13,-0.7
wilson odobert,Tottenham,Premier-League,2024-2025,13,4,0.08,1.6,1.6,0.12,-0.6
chiedozie ogbene,Ipswich Town,Premier-League,2024-2025,0,0,,0.0,0.0,,0.0
caleb okoli,Leicester City,Premier-League,2024-2025,4,2,0.25,0.6,0.6,0.15,0.4
robin olsen,Aston Villa,Premier-League,2024-2025,0,0,,0.0,0.0,,0.0
amadou onana,Aston Villa,Premier-League,2024-2025,17,6,0.18,2.1,2.1,0.12,0.9
andre onana,Manchester Utd,Premier-League,2024-2025,0,0,,0.0,0.0,,0.0
paul onuachu,Southampton,Premier-League,2024-2025,34,15,0.12,3.6,3.6,0.11,0.4
frank onyeka,Brentford,Premier-League,2024-2025,0,0,,0.0,0.0,,0.0
lewis orford,West Ham,Premier-League,2024-2025,1,0,0.0,0.0,0.0,0.03,0.0
